pass_uid,user_freq,shop_num,time_num
1000179576,45,28,44
1000185212,45,13,45
1000296484,45,9,45
1000693620,45,17,45
1000702091,45,25,45
1000753594,45,12,43
1000808511,45,15,45
1000859872,45,25,45
1000961586,45,17,45
1001134861,45,16,45
100691911,45,13,45
101895325,45,23,45
102068216,45,19,45
102219499,45,20,45
102852059,45,8,45
1030138481,45,11,45
1030805033,45,15,44
1032683885,45,28,45
1032917724,45,17,45
1033194627,45,13,43
1033458746,45,25,45
1033959475,45,20,45
1033976333,45,17,45
1034080932,45,13,45
1034440466,45,23,45
1035209421,45,26,45
103526286,45,20,45
1035898176,45,22,44
1036190043,45,16,45
1036533518,45,13,45
1036603447,45,26,45
1037071572,45,32,44
103730364,45,25,45
1037391730,45,29,45
1037740526,45,36,45
1037763421,45,31,45
1037821710,45,19,45
1038005659,45,20,45
1038090341,45,24,43
1038123349,45,28,45
1038146552,45,8,45
1038269870,45,16,44
1038348000,45,29,45
1038921575,45,32,44
1039272367,45,9,45
1039384789,45,21,45
1039666505,45,18,45
1039877178,45,20,45
1039916866,45,39,45
1040003969,45,20,45
1040574129,45,28,44
1040637130,45,8,40
1040732096,45,35,45
1040849798,45,23,45
1041250639,45,22,45
1041430085,45,7,45
1041502050,45,20,45
1041622789,45,22,45
104195425,45,34,45
1042467543,45,23,45
1042690619,45,15,45
1042736813,45,13,45
1042897267,45,16,45
1043116720,45,20,45
1043450523,45,23,45
1043833255,45,29,45
1044593945,45,15,45
1044983891,45,17,45
1045291969,45,28,44
1045472379,45,24,45
1046022523,45,22,45
1046525733,45,17,45
1046609008,45,16,45
104725772,45,25,45
1047624575,45,14,45
1047777039,45,18,45
1048080076,45,17,45
104826007,45,26,44
1048515624,45,21,43
1048778143,45,17,45
1048803221,45,7,45
1049290215,45,37,44
1049449490,45,24,45
1049954698,45,25,45
1050068602,45,32,45
1050562392,45,32,45
1050612912,45,20,43
1050923689,45,10,45
1051124755,45,23,45
1051983194,45,13,45
105236662,45,20,45
1052941337,45,25,45
1053134130,45,23,45
1053258802,45,19,45
1053325668,45,30,45
1053667645,45,29,45
1053894654,45,25,45
1054023512,45,26,45
1054035397,45,8,45
1054570984,45,20,45
1054834253,45,19,44
1055218609,45,41,45
1055300097,45,22,45
1055457129,45,13,44
1055477530,45,25,45
1055482217,45,17,45
1055482721,45,18,45
