pass_uid,user_freq,shop_num,date_num
1045109683,200,74,139
104528084,200,49,172
1140281867,200,48,167
1246197356,200,18,67
125101143,200,49,157
1259626029,200,76,156
1397659083,200,73,161
1541682603,200,82,171
1550706150,200,60,170
1578642,200,38,175
1641724171,200,31,174
169069523,200,33,167
1734164221,200,27,184
1734838023,200,31,154
1767434855,200,67,159
19833946,200,51,172
2087424732,200,56,180
212805673,200,67,171
2136490133,200,35,128
2436455773,200,30,160
2529884019,200,75,147
333608519,200,80,170
390989235,200,91,166
400778270,200,59,172
792695127,200,100,141
905873997,200,54,166
937400837,200,45,162
964468174,200,62,162
1266944582,201,46,154
1268784252,201,85,163
1282541953,201,22,175
1432812,201,25,179
1477583025,201,54,184
149356166,201,61,173
1509713477,201,46,165
1562013589,201,74,145
1569217469,201,43,176
1574181245,201,52,168
1589253984,201,26,197
1641193062,201,77,161
16682739,201,15,172
1948051986,201,40,158
2039757150,201,82,161
2227202627,201,48,163
2239642380,201,53,182
23235624,201,52,168
292057568,201,47,158
410315892,201,75,147
44959531,201,65,171
55436396,201,30,148
6788083,201,48,159
789728646,201,106,151
821683809,201,51,159
832490006,201,55,185
851316192,201,53,149
899986224,201,57,152
946480141,201,49,178
968733332,201,58,185
989489987,201,79,160
110055261,202,83,131
1115460219,202,76,131
1157510940,202,52,120
1275008790,202,32,179
137127502,202,86,159
1385513530,202,60,180
1489440531,202,58,153
1564085391,202,46,177
1577841196,202,40,156
1718849667,202,53,179
1821128591,202,71,164
2014848351,202,34,144
204644983,202,90,172
216878763,202,64,174
2216997097,202,56,157
251006303,202,68,157
256149991,202,54,178
35088577,202,57,140
5506610,202,70,162
74308385,202,61,162
757627703,202,74,153
782809368,202,34,135
801235538,202,54,163
808704160,202,65,169
814348377,202,29,140
814759855,202,97,154
819378293,202,32,171
862316455,202,46,158
968424424,202,48,169
977242066,202,85,124
1000739332,203,78,155
1080440256,203,47,167
1100985859,203,40,158
1249686817,203,89,158
126665202,203,27,169
1277720171,203,102,153
1285088999,203,14,153
1290215616,203,59,162
1392441660,203,94,183
1396726974,203,66,159
