pass_uid,user_freq,shop_num,date_num
1000281020,35,12,33
1000300496,35,21,33
1000409050,35,17,30
1000642818,35,9,35
1000657409,35,9,34
1000705707,35,1,35
1000765167,35,26,33
1000823944,35,8,35
1001204953,35,14,33
101357626,35,22,32
102153343,35,16,34
102852059,35,5,34
1030817231,35,15,33
1031311589,35,20,33
1032200509,35,10,34
1032295536,35,9,35
1032505030,35,5,35
1033182792,35,17,33
1033669946,35,17,32
1034127154,35,15,31
1035738175,35,24,33
1036258900,35,3,35
1036378574,35,17,34
1036719952,35,20,33
1037003899,35,10,34
1037411824,35,22,30
1037510983,35,13,31
1037743389,35,6,34
1038109434,35,6,34
1038383081,35,24,31
1038517179,35,20,32
1039075153,35,17,29
1039083254,35,19,34
1039812299,35,18,33
1040901538,35,20,34
1041066495,35,19,34
1041067415,35,10,32
1041308470,35,11,35
1041591553,35,10,34
1041635032,35,19,35
1041724577,35,11,30
104220226,35,18,27
1042322775,35,13,35
1043255892,35,13,33
1044139311,35,18,33
1044273247,35,16,35
1044314354,35,16,34
1044782122,35,14,34
1044860151,35,11,32
1045258288,35,19,34
1045836985,35,17,35
1045877798,35,24,29
1045959967,35,22,34
104615586,35,18,31
1048391031,35,18,34
1049296614,35,16,33
1049416596,35,18,33
1049609867,35,17,34
105009375,35,14,29
1050134436,35,15,35
1050279755,35,9,35
1051771538,35,19,32
1051846455,35,7,32
1051871985,35,15,33
1052040426,35,19,32
1052136392,35,26,30
1052365227,35,11,32
1053953939,35,8,33
1054157627,35,15,33
1054248894,35,4,34
1054567524,35,18,33
1054570984,35,16,34
1054716388,35,15,35
1054743643,35,10,31
1055122048,35,21,31
1055433079,35,13,32
1055467933,35,21,33
1055628098,35,18,33
1055913953,35,20,35
1056170422,35,12,21
1056300172,35,9,32
1056362312,35,13,34
1056457519,35,9,33
1056616635,35,26,33
1057003399,35,24,33
1057393299,35,27,34
105763931,35,22,35
1057798074,35,25,30
1058035910,35,20,32
1058037648,35,8,33
1058133404,35,12,31
1058552075,35,24,31
1058692885,35,17,34
1058737890,35,12,35
1058964019,35,14,31
1059553690,35,14,33
1059842470,35,13,34
105993595,35,14,30
1060028586,35,10,34
1061122918,35,24,33
1061513723,35,21,31
1061930940,35,10,23
1062153096,35,19,34
1062576584,35,15,27
1062869199,35,18,33
1062932133,35,5,35
1063086955,35,14,30
106500465,35,16,31
1065436179,35,12,34
1065477823,35,23,31
1065606800,35,18,34
1066179930,35,10,33
1066547848,35,21,30
1066613580,35,11,32
1066840580,35,25,34
10669229,35,20,31
1067178199,35,28,33
1067476535,35,29,29
1067738425,35,16,33
1068147935,35,21,35
1068235043,35,14,32
1068397892,35,16,34
1068508362,35,18,34
1068668762,35,29,31
1068679922,35,26,28
1069217466,35,24,33
1069275063,35,21,32
1069437978,35,17,31
1069573141,35,25,32
1069590483,35,20,31
1069596965,35,8,34
1069879344,35,16,33
1071075588,35,7,33
1071249586,35,12,28
1071315078,35,23,29
1071446091,35,16,34
1071525688,35,21,28
1071802014,35,20,32
1071806234,35,12,35
1071878795,35,10,34
1072289442,35,18,33
1072549967,35,19,32
1073094096,35,14,33
1073778850,35,9,34
1073917839,35,18,30
107398523,35,17,33
1074647557,35,18,34
